Month,value
2013 Jan,36.7
2013 Feb,35.9
2013 Mar,41.8
2013 Apr,40.6
2013 May,43.5
2013 Jun,44.6
2013 Jul,41
2013 Aug,41.7
2013 Sep,38.8
2013 Oct,38.7
2013 Nov,36.6
2013 Dec,33.1
2014 Jan,32.5
2014 Feb,30.8
2014 Mar,36.7
2014 Apr,35.6
2014 May,37.9
2014 Jun,37.8
2014 Jul,39
2014 Aug,40.9
2014 Sep,38.8
2014 Oct,36.5
2014 Nov,34.9
2014 Dec,37.8
2015 Jan,31.6
2015 Feb,32.9
2015 Mar,36.3
2015 Apr,36.5
2015 May,38.4
2015 Jun,43
2015 Jul,45.2
2015 Aug,43.2
2015 Sep,42
2015 Oct,41.1
2015 Nov,39.3
2015 Dec,38.3
2016 Jan,35
2016 Feb,34.7
2016 Mar,36.6
2016 Apr,38.7
2016 May,39.2
2016 Jun,39.7
2016 Jul,42.5
2016 Aug,45.4
2016 Sep,41.4
2016 Oct,41.5
2016 Nov,41.6
2016 Dec,41.3
2017 Jan,34.3
2017 Feb,37.1
2017 Mar,36.6
2017 Apr,37.5
2017 May,36.3
2017 Jun,39.5
2017 Jul,41.8
2017 Aug,42.4
2017 Sep,38.8
2017 Oct,42.1
2017 Nov,39.7
2017 Dec,38.1
2018 Jan,34.6
2018 Feb,36.4
2018 Mar,40.4
2018 Apr,39.1
2018 May,40.7
2018 Jun,41.5
2018 Jul,43
2018 Aug,41.8
2018 Sep,38.5
2018 Oct,39.4
2018 Nov,37.2
2018 Dec,35.2
